type   n   time 
dotproduct_o2           400  9.000000000000002E-006
cached_o2           400  9.000000000000002E-006
both_o2           400  1.000000000000003E-005
builtin_o2           400  9.000000000000002E-006
basic           441  9.499999999999992E-005
dotproduct           441  4.799999999999997E-005
cached           441  9.600000000000006E-005
both           441  6.099999999999996E-005
builtin           441  1.050000000000000E-004
basic_o2           441  1.100000000000005E-005
dotproduct_o2           441  1.099999999999994E-005
cached_o2           441  1.200000000000007E-005
both_o2           441  1.000000000000003E-005
builtin_o2           441  1.100000000000005E-005
basic           484  1.089999999999999E-004
dotproduct           484  5.500000000000004E-005
cached           484  1.090000000000000E-004
both           484  7.099999999999999E-005
builtin           484  1.209999999999999E-004
basic_o2           484  1.400000000000002E-005
dotproduct_o2           484  1.099999999999994E-005
cached_o2           484  1.400000000000002E-005
both_o2           484  1.099999999999994E-005
builtin_o2           484  1.399999999999991E-005
basic           529  1.240000000000001E-004
dotproduct           529  6.300000000000001E-005
cached           529  1.240000000000000E-004
both           529  7.999999999999999E-005
builtin           529  1.280000000000000E-004
basic_o2           529  1.599999999999996E-005
dotproduct_o2           529  1.400000000000002E-005
cached_o2           529  1.699999999999998E-005
both_o2           529  1.400000000000002E-005
builtin_o2           529  1.700000000000009E-005
basic           576  1.400000000000000E-004
dotproduct           576  6.900000000000005E-005
cached           576  1.410000000000000E-004
both           576  1.460000000000001E-004
builtin           576  1.460000000000000E-004
basic_o2           576  7.999999999999978E-006
dotproduct_o2           576  1.199999999999997E-005
cached_o2           576  1.199999999999997E-005
both_o2           576  1.099999999999994E-005
builtin_o2           576  7.000000000000062E-006
basic           625  1.590000000000000E-004
dotproduct           625  7.799999999999994E-005
cached           625  1.590000000000000E-004
both           625  1.010000000000001E-004
builtin           625  1.640000000000000E-004
basic_o2           625  1.100000000000005E-005
dotproduct_o2           625  1.299999999999999E-005
cached_o2           625  1.299999999999999E-005
both_o2           625  1.299999999999999E-005
builtin_o2           625  1.000000000000003E-005
basic           676  1.780000000000001E-004
dotproduct           676  8.699999999999995E-005
cached           676  2.590000000000000E-004
both           676  1.349999999999999E-004
builtin           676  1.960000000000000E-004
basic_o2           676  1.200000000000007E-005
dotproduct_o2           676  1.600000000000006E-005
cached_o2           676  1.400000000000002E-005
both_o2           676  1.400000000000002E-005
builtin_o2           676  1.200000000000007E-005
basic           729  2.170000000000001E-004
dotproduct           729  9.600000000000006E-005
cached           729  1.990000000000000E-004
both           729  1.270000000000001E-004
builtin           729  2.110000000000000E-004
basic_o2           729  1.499999999999993E-005
dotproduct_o2           729  1.800000000000000E-005
cached_o2           729  1.699999999999998E-005
both_o2           729  1.600000000000006E-005
builtin_o2           729  1.600000000000006E-005
basic           784  2.600000000000001E-004
dotproduct           784  1.060000000000001E-004
cached           784  2.960000000000000E-004
both           784  1.399999999999999E-004
builtin           784  2.300000000000001E-004
basic_o2           784  1.799999999999990E-005
dotproduct_o2           784  1.900000000000003E-005
cached_o2           784  1.899999999999992E-005
both_o2           784  1.800000000000000E-005
builtin_o2           784  1.900000000000003E-005
basic           841  2.460000000000001E-004
dotproduct           841  1.179999999999999E-004
cached           841  2.469999999999999E-004
both           841  1.580000000000000E-004
builtin           841  2.560000000000000E-004
basic_o2           841  2.199999999999999E-005
dotproduct_o2           841  2.099999999999997E-005
cached_o2           841  2.199999999999999E-005
both_o2           841  3.000000000000008E-005
builtin_o2           841  2.300000000000002E-005
basic           900  2.720000000000000E-004
dotproduct           900  1.300000000000000E-004
cached           900  2.719999999999999E-004
both           900  1.730000000000000E-004
builtin           900  3.199999999999999E-004
basic_o2           900  2.599999999999998E-005
dotproduct_o2           900  3.900000000000008E-005
cached_o2           900  2.699999999999990E-005
both_o2           900  2.300000000000002E-005
builtin_o2           900  2.600000000000009E-005
basic           961  3.210000000000001E-004
dotproduct           961  1.879999999999999E-004
cached           961  3.040000000000000E-004
both           961  3.309999999999999E-004
builtin           961  3.109999999999999E-004
basic_o2           961  3.000000000000008E-005
dotproduct_o2           961  2.700000000000001E-005
cached_o2           961  3.099999999999999E-005
both_o2           961  2.499999999999996E-005
builtin_o2           961  3.099999999999999E-005
basic          1024  3.440000000000000E-004
dotproduct          1024  1.570000000000001E-004
cached          1024  3.309999999999999E-004
both          1024  2.380000000000000E-004
builtin          1024  3.450000000000000E-004
basic_o2          1024  1.500000000000004E-005
dotproduct_o2          1024  2.499999999999996E-005
cached_o2          1024  2.300000000000002E-005
both_o2          1024  2.300000000000002E-005
builtin_o2          1024  1.500000000000004E-005
basic          1089  3.620000000000000E-004
dotproduct          1089  1.690000000000000E-004
cached          1089  4.320000000000000E-004
both          1089  2.280000000000000E-004
builtin          1089  3.760000000000000E-004
basic_o2          1089  1.900000000000003E-005
dotproduct_o2          1089  2.800000000000003E-005
cached_o2          1089  2.499999999999996E-005
both_o2          1089  2.499999999999996E-005
builtin_o2          1089  1.900000000000003E-005
basic          1156  3.960000000000001E-004
dotproduct          1156  1.929999999999999E-004
cached          1156  4.270000000000001E-004
both          1156  2.480000000000001E-004
builtin          1156  4.169999999999999E-004
basic_o2          1156  2.199999999999999E-005
dotproduct_o2          1156  3.099999999999999E-005
cached_o2          1156  2.800000000000003E-005
both_o2          1156  2.799999999999992E-005
builtin_o2          1156  2.300000000000002E-005
basic          1225  4.420000000000000E-004
dotproduct          1225  2.010000000000000E-004
cached          1225  4.749999999999999E-004
both          1225  2.939999999999999E-004
builtin          1225  4.479999999999999E-004
basic_o2          1225  2.800000000000003E-005
dotproduct_o2          1225  3.399999999999996E-005
cached_o2          1225  3.200000000000002E-005
both_o2          1225  4.700000000000006E-005
builtin_o2          1225  2.700000000000001E-005
basic          1296  4.689999999999999E-004
dotproduct          1296  2.250000000000000E-004
cached          1296  4.770000000000000E-004
both          1296  3.040000000000001E-004
builtin          1296  4.950000000000001E-004
basic_o2          1296  3.200000000000002E-005
dotproduct_o2          1296  3.700000000000003E-005
cached_o2          1296  3.500000000000009E-005
both_o2          1296  3.400000000000007E-005
builtin_o2          1296  3.299999999999993E-005
basic          1369  5.090000000000001E-004
dotproduct          1369  2.350000000000001E-004
cached          1369  5.100000000000000E-004
both          1369  3.200000000000000E-004
builtin          1369  5.369999999999999E-004
basic_o2          1369  3.799999999999995E-005
dotproduct_o2          1369  4.100000000000002E-005
cached_o2          1369  5.200000000000007E-005
both_o2          1369  3.899999999999997E-005
builtin_o2          1369  3.799999999999995E-005
basic          1444  5.520000000000001E-004
dotproduct          1444  2.639999999999999E-004
cached          1444  6.089999999999999E-004
both          1444  3.800000000000000E-004
builtin          1444  6.110000000000001E-004
basic_o2          1444  4.399999999999999E-005
dotproduct_o2          1444  4.600000000000003E-005
cached_o2          1444  4.800000000000008E-005
both_o2          1444  4.199999999999994E-005
builtin_o2          1444  4.500000000000001E-005
basic          1521  6.420000000000000E-004
dotproduct          1521  2.729999999999999E-004
cached          1521  6.169999999999999E-004
both          1521  3.889999999999999E-004
builtin          1521  6.919999999999999E-004
basic_o2          1521  5.100000000000005E-005
dotproduct_o2          1521  4.900000000000011E-005
cached_o2          1521  5.700000000000008E-005
both_o2          1521  4.700000000000006E-005
builtin_o2          1521  5.199999999999996E-005
basic          1600  6.649999999999999E-004
dotproduct          1600  3.040000000000000E-004
cached          1600  6.480000000000000E-004
both          1600  4.519999999999999E-004
builtin          1600  7.130000000000000E-004
basic_o2          1600  2.700000000000001E-005
dotproduct_o2          1600  4.800000000000008E-005
cached_o2          1600  4.200000000000005E-005
both_o2          1600  4.000000000000000E-005
builtin_o2          1600  2.700000000000001E-005
basic          1681  7.010000000000000E-004
dotproduct          1681  4.520000000000000E-004
cached          1681  7.280000000000001E-004
both          1681  4.339999999999999E-004
builtin          1681  7.619999999999999E-004
basic_o2          1681  3.099999999999999E-005
dotproduct_o2          1681  5.100000000000005E-005
cached_o2          1681  4.500000000000001E-005
both_o2          1681  4.899999999999989E-005
builtin_o2          1681  3.200000000000002E-005
basic          1764  7.559999999999999E-004
dotproduct          1764  3.390000000000001E-004
cached          1764  7.649999999999999E-004
both          1764  4.649999999999999E-004
builtin          1764  1.403000000000000E-003
basic_o2          1764  3.899999999999997E-005
dotproduct_o2          1764  5.499999999999993E-005
cached_o2          1764  4.900000000000000E-005
both_o2          1764  4.900000000000000E-005
builtin_o2          1764  4.000000000000000E-005
basic          1849  8.380000000000001E-004
dotproduct          1849  3.650000000000001E-004
cached          1849  8.300000000000000E-004
both          1849  4.990000000000000E-004
builtin          1849  8.860000000000001E-004
basic_o2          1849  4.699999999999995E-005
dotproduct_o2          1849  6.000000000000005E-005
cached_o2          1849  5.500000000000004E-005
both_o2          1849  5.299999999999999E-005
builtin_o2          1849  4.700000000000006E-005
basic          1936  8.680000000000000E-004
dotproduct          1936  3.880000000000000E-004
cached          1936  8.890000000000000E-004
both          1936  5.650000000000001E-004
builtin          1936  8.830000000000001E-004
basic_o2          1936  5.400000000000001E-005
dotproduct_o2          1936  6.500000000000006E-005
cached_o2          1936  5.900000000000002E-005
both_o2          1936  5.800000000000000E-005
builtin_o2          1936  5.400000000000001E-005
basic          2025  9.540000000000000E-004
dotproduct          2025  4.150000000000001E-004
cached          2025  9.320000000000000E-004
both          2025  5.700000000000000E-004
builtin          2025  9.429999999999999E-004
basic_o2          2025  6.099999999999996E-005
dotproduct_o2          2025  8.500000000000001E-005
cached_o2          2025  6.800000000000003E-005
both_o2          2025  6.400000000000004E-005
builtin_o2          2025  6.199999999999999E-005
basic          2116  1.003000000000000E-003
dotproduct          2116  4.650000000000001E-004
cached          2116  9.770000000000000E-004
both          2116  6.850000000000000E-004
builtin          2116  1.015000000000000E-003
basic_o2          2116  7.600000000000011E-005
dotproduct_o2          2116  8.600000000000003E-005
cached_o2          2116  7.900000000000008E-005
both_o2          2116  6.899999999999994E-005
builtin_o2          2116  7.099999999999999E-005
basic          2209  1.052000000000000E-003
dotproduct          2209  4.710000000000000E-004
cached          2209  1.046000000000000E-003
both          2209  6.650000000000000E-004
builtin          2209  1.117000000000000E-003
basic_o2          2209  8.500000000000001E-005
dotproduct_o2          2209  8.299999999999996E-005
cached_o2          2209  1.249999999999999E-004
both_o2          2209  7.600000000000000E-005
builtin_o2          2209  8.099999999999991E-005
basic          2304  1.121000000000000E-003
dotproduct          2304  5.570000000000000E-004
cached          2304  1.720000000000000E-003
both          2304  7.110000000000000E-004
builtin          2304  1.604000000000000E-003
basic_o2          2304  4.399999999999999E-005
dotproduct_o2          2304  7.899999999999997E-005
cached_o2          2304  6.900000000000005E-005
both_o2          2304  6.700000000000000E-005
builtin_o2          2304  4.500000000000001E-005
basic          2401  1.212000000000000E-003
dotproduct          2401  5.330000000000001E-004
cached          2401  1.186000000000000E-003
both          2401  8.790000000000000E-004
builtin          2401  1.254000000000000E-003
basic_o2          2401  5.299999999999999E-005
dotproduct_o2          2401  8.299999999999996E-005
cached_o2          2401  7.400000000000006E-005
both_o2          2401  7.300000000000004E-005
builtin_o2          2401  5.200000000000007E-005
basic          2500  1.271000000000000E-003
dotproduct          2500  5.630000000000000E-004
cached          2500  1.286000000000000E-003
both          2500  7.809999999999999E-004
builtin          2500  1.327000000000000E-003
basic_o2          2500  6.100000000000007E-005
dotproduct_o2          2500  8.899999999999999E-005
cached_o2          2500  7.899999999999997E-005
both_o2          2500  7.800000000000005E-005
builtin_o2          2500  6.199999999999999E-005
basic          2601  1.387000000000000E-003
dotproduct          2601  6.010000000000000E-004
cached          2601  1.339000000000000E-003
both          2601  8.280000000000000E-004
