type   n   time 
basic_o2         12544  5.370000000000002E-004
dotproduct_o2         12544  9.939999999999999E-004
cached_o2         12544  8.570000000000001E-004
both_o2         12544  7.970000000000002E-004
builtin_o2         12544  5.430000000000001E-004
basic         12769  1.493700000000000E-002
dotproduct         12769  6.454000000000001E-003
cached         12769  1.488800000000000E-002
both         12769  9.464000000000000E-003
builtin         12769  1.556000000000000E-002
basic_o2         12769  6.409999999999999E-004
dotproduct_o2         12769  1.102000000000000E-003
cached_o2         12769  8.820000000000002E-004
both_o2         12769  8.200000000000000E-004
builtin_o2         12769  5.890000000000001E-004
basic         12996  1.546100000000000E-002
dotproduct         12996  6.886999999999999E-003
cached         12996  1.619100000000000E-002
both         12996  1.000300000000000E-002
builtin         12996  1.624500000000000E-002
basic_o2         12996  6.410000000000001E-004
dotproduct_o2         12996  1.123000000000000E-003
cached_o2         12996  9.389999999999999E-004
both_o2         12996  9.230000000000000E-004
builtin_o2         12996  6.900000000000001E-004
basic         13225  1.622600000000000E-002
dotproduct         13225  7.195000000000000E-003
cached         13225  1.614800000000000E-002
both         13225  1.118800000000000E-002
builtin         13225  1.679400000000000E-002
basic_o2         13225  7.050000000000001E-004
dotproduct_o2         13225  1.056000000000000E-003
cached_o2         13225  1.020000000000000E-003
both_o2         13225  8.990000000000000E-004
builtin_o2         13225  6.880000000000000E-004
basic         13456  1.646400000000000E-002
dotproduct         13456  6.858000000000000E-003
cached         13456  1.642400000000000E-002
both         13456  9.861000000000000E-003
builtin         13456  1.626700000000000E-002
basic_o2         13456  7.250000000000000E-004
dotproduct_o2         13456  1.094000000000000E-003
cached_o2         13456  9.960000000000001E-004
both_o2         13456  9.350000000000000E-004
builtin_o2         13456  7.170000000000000E-004
basic         13689  1.604200000000000E-002
dotproduct         13689  7.347000000000001E-003
cached         13689  1.610000000000000E-002
both         13689  1.013200000000000E-002
builtin         13689  1.679500000000000E-002
basic_o2         13689  7.680000000000000E-004
dotproduct_o2         13689  1.129000000000000E-003
cached_o2         13689  1.040000000000000E-003
both_o2         13689  9.429999999999999E-004
builtin_o2         13689  7.680000000000000E-004
basic         13924  1.665400000000000E-002
dotproduct         13924  7.412999999999999E-003
cached         13924  1.680000000000000E-002
both         13924  1.071200000000000E-002
builtin         13924  1.726300000000000E-002
basic_o2         13924  8.760000000000003E-004
dotproduct_o2         13924  1.123000000000000E-003
cached_o2         13924  1.180000000000000E-003
both_o2         13924  1.001000000000000E-003
builtin_o2         13924  8.389999999999999E-004
basic         14161  1.735900000000000E-002
dotproduct         14161  7.415000000000000E-003
cached         14161  1.715400000000000E-002
both         14161  1.060900000000000E-002
builtin         14161  1.782100000000000E-002
basic_o2         14161  8.489999999999999E-004
dotproduct_o2         14161  1.192000000000000E-003
cached_o2         14161  1.186000000000000E-003
both_o2         14161  1.011000000000000E-003
builtin_o2         14161  8.730000000000001E-004
basic         14400  1.761500000000000E-002
dotproduct         14400  7.523000000000000E-003
cached         14400  1.776200000000000E-002
both         14400  1.219800000000000E-002
builtin         14400  2.153500000000000E-002
basic_o2         14400  6.520000000000000E-004
dotproduct_o2         14400  1.932000000000000E-003
cached_o2         14400  1.152000000000000E-003
both_o2         14400  9.840000000000001E-004
builtin_o2         14400  6.819999999999999E-004
basic         14641  1.968300000000000E-002
dotproduct         14641  8.347000000000000E-003
cached         14641  1.741100000000000E-002
both         14641  1.119400000000000E-002
builtin         14641  1.909500000000000E-002
basic_o2         14641  7.179999999999999E-004
dotproduct_o2         14641  1.376000000000000E-003
cached_o2         14641  1.078000000000000E-003
both_o2         14641  1.135000000000000E-003
builtin_o2         14641  7.170000000000000E-004
basic         14884  2.019100000000000E-002
dotproduct         14884  7.800000000000000E-003
cached         14884  1.842800000000000E-002
both         14884  1.203600000000000E-002
builtin         14884  1.826900000000000E-002
basic_o2         14884  7.480000000000002E-004
dotproduct_o2         14884  1.241000000000000E-003
cached_o2         14884  1.117000000000000E-003
both_o2         14884  1.048000000000000E-003
builtin_o2         14884  7.499999999999999E-004
basic         15129  1.975500000000000E-002
dotproduct         15129  8.050000000000000E-003
cached         15129  1.837100000000000E-002
both         15129  1.185000000000000E-002
builtin         15129  1.972700000000000E-002
basic_o2         15129  7.829999999999998E-004
dotproduct_o2         15129  1.279000000000000E-003
cached_o2         15129  1.162000000000000E-003
both_o2         15129  1.052000000000000E-003
builtin_o2         15129  8.389999999999999E-004
basic         15376  1.954800000000000E-002
dotproduct         15376  8.258999999999999E-003
cached         15376  1.924100000000000E-002
both         15376  1.166400000000000E-002
builtin         15376  1.935900000000000E-002
basic_o2         15376  8.599999999999999E-004
dotproduct_o2         15376  1.346000000000000E-003
cached_o2         15376  1.213000000000000E-003
both_o2         15376  1.204000000000000E-003
builtin_o2         15376  8.840000000000000E-004
basic         15625  1.992900000000000E-002
dotproduct         15625  8.278000000000001E-003
cached         15625  1.960000000000000E-002
both         15625  1.182600000000000E-002
builtin         15625  2.032300000000000E-002
basic_o2         15625  9.240000000000001E-004
dotproduct_o2         15625  1.316000000000000E-003
cached_o2         15625  1.568000000000000E-003
both_o2         15625  1.168000000000000E-003
builtin_o2         15625  9.379999999999998E-004
basic         15876  2.031700000000000E-002
dotproduct         15876  8.846000000000000E-003
cached         15876  2.030200000000000E-002
both         15876  1.268300000000000E-002
builtin         15876  2.082000000000000E-002
basic_o2         15876  9.809999999999999E-004
dotproduct_o2         15876  1.438000000000000E-003
cached_o2         15876  1.329000000000000E-003
both_o2         15876  1.179000000000000E-003
builtin_o2         15876  9.800000000000002E-004
basic         16129  2.076700000000000E-002
dotproduct         16129  8.587000000000001E-003
cached         16129  2.047200000000000E-002
both         16129  1.287600000000000E-002
builtin         16129  2.082600000000000E-002
basic_o2         16129  1.053000000000000E-003
dotproduct_o2         16129  1.436000000000000E-003
cached_o2         16129  1.339000000000000E-003
both_o2         16129  1.241000000000000E-003
builtin_o2         16129  1.011000000000000E-003
basic         16384  2.210600000000000E-002
dotproduct         16384  1.215100000000000E-002
cached         16384  2.240300000000000E-002
both         16384  1.495400000000000E-002
builtin         16384  2.322400000000000E-002
basic_o2         16384  7.680000000000000E-004
dotproduct_o2         16384  2.073000000000000E-003
cached_o2         16384  1.262000000000000E-003
both_o2         16384  1.971000000000000E-003
builtin_o2         16384  7.920000000000000E-004
basic         16641  2.158700000000000E-002
dotproduct         16641  9.180000000000001E-003
cached         16641  2.115700000000000E-002
both         16641  1.332900000000000E-002
builtin         16641  2.219700000000000E-002
basic_o2         16641  8.240000000000001E-004
dotproduct_o2         16641  1.503000000000000E-003
cached_o2         16641  1.239000000000000E-003
both_o2         16641  1.254000000000000E-003
builtin_o2         16641  9.180000000000002E-004
basic         16900  2.179900000000000E-002
dotproduct         16900  9.285000000000000E-003
cached         16900  2.189400000000000E-002
both         16900  1.381500000000000E-002
builtin         16900  2.273500000000000E-002
basic_o2         16900  9.070000000000000E-004
dotproduct_o2         16900  1.497000000000000E-003
cached_o2         16900  1.363000000000000E-003
both_o2         16900  1.289000000000000E-003
builtin_o2         16900  9.750000000000002E-004
basic         17161  2.257100000000000E-002
dotproduct         17161  9.425000000000001E-003
cached         17161  2.245500000000000E-002
both         17161  1.416000000000000E-002
builtin         17161  2.359200000000000E-002
basic_o2         17161  9.649999999999999E-004
dotproduct_o2         17161  1.580000000000000E-003
cached_o2         17161  1.360000000000000E-003
both_o2         17161  1.296000000000000E-003
builtin_o2         17161  9.710000000000003E-004
basic         17424  2.343000000000000E-002
dotproduct         17424  9.890999999999999E-003
cached         17424  2.322700000000000E-002
both         17424  1.458600000000000E-002
builtin         17424  2.513800000000000E-002
basic_o2         17424  9.650000000000001E-004
dotproduct_o2         17424  1.534000000000000E-003
cached_o2         17424  1.461000000000000E-003
both_o2         17424  1.290000000000000E-003
builtin_o2         17424  1.037000000000000E-003
basic         17689  2.391300000000000E-002
dotproduct         17689  1.002900000000000E-002
cached         17689  2.310600000000000E-002
both         17689  1.422700000000000E-002
builtin         17689  2.464900000000000E-002
basic_o2         17689  1.097000000000000E-003
dotproduct_o2         17689  1.643000000000000E-003
cached_o2         17689  1.549000000000000E-003
both_o2         17689  1.397000000000000E-003
builtin_o2         17689  1.094000000000000E-003
basic         17956  2.323100000000000E-002
dotproduct         17956  1.003000000000000E-002
cached         17956  2.408800000000000E-002
both         17956  1.473100000000000E-002
builtin         17956  2.517600000000000E-002
basic_o2         17956  1.162000000000000E-003
dotproduct_o2         17956  1.665000000000000E-003
cached_o2         17956  1.595000000000000E-003
both_o2         17956  1.427000000000000E-003
builtin_o2         17956  1.161000000000000E-003
basic         18225  2.461900000000000E-002
dotproduct         18225  1.036700000000000E-002
cached         18225  2.529700000000000E-002
both         18225  1.517000000000000E-002
builtin         18225  2.592800000000000E-002
basic_o2         18225  1.277000000000000E-003
dotproduct_o2         18225  1.871000000000000E-003
cached_o2         18225  2.021999999999999E-003
both_o2         18225  1.770000000000000E-003
builtin_o2         18225  1.228000000000000E-003
basic         18496  2.614800000000000E-002
dotproduct         18496  1.092100000000000E-002
cached         18496  2.586200000000000E-002
both         18496  1.603800000000000E-002
builtin         18496  2.689300000000000E-002
basic_o2         18496  9.609999999999998E-004
dotproduct_o2         18496  1.841000000000000E-003
cached_o2         18496  1.524000000000000E-003
both_o2         18496  1.409000000000000E-003
builtin_o2         18496  1.002000000000000E-003
basic         18769  2.628400000000000E-002
dotproduct         18769  1.179400000000000E-002
cached         18769  2.626300000000000E-002
both         18769  1.697400000000000E-002
builtin         18769  2.775000000000000E-002
basic_o2         18769  1.154000000000000E-003
dotproduct_o2         18769  1.939000000000000E-003
cached_o2         18769  1.611000000000000E-003
both_o2         18769  1.537000000000000E-003
builtin_o2         18769  1.020000000000000E-003
basic         19044  2.762200000000000E-002
dotproduct         19044  1.158300000000000E-002
cached         19044  2.710200000000000E-002
both         19044  1.779900000000000E-002
builtin         19044  2.703800000000000E-002
basic_o2         19044  1.125000000000000E-003
dotproduct_o2         19044  1.961000000000000E-003
cached_o2         19044  1.602000000000000E-003
both_o2         19044  1.468000000000000E-003
builtin_o2         19044  1.041000000000000E-003
basic         19321  2.776600000000000E-002
dotproduct         19321  1.227400000000000E-002
cached         19321  2.770900000000000E-002
both         19321  1.710300000000000E-002
builtin         19321  2.775800000000000E-002
basic_o2         19321  1.233000000000000E-003
dotproduct_o2         19321  1.837000000000000E-003
cached_o2         19321  1.653000000000000E-003
both_o2         19321  1.510000000000000E-003
builtin_o2         19321  1.192000000000000E-003
basic         19600  2.747000000000000E-002
dotproduct         19600  1.190500000000000E-002
cached         19600  2.795300000000000E-002
both         19600  1.725300000000000E-002
builtin         19600  2.870200000000000E-002
basic_o2         19600  1.263000000000000E-003
dotproduct_o2         19600  1.990000000000000E-003
cached_o2         19600  1.717000000000000E-003
both_o2         19600  1.981000000000000E-003
builtin_o2         19600  1.414000000000000E-003
basic         19881  2.800500000000000E-002
dotproduct         19881  1.195800000000000E-002
cached         19881  2.723500000000000E-002
both         19881  1.747200000000000E-002
builtin         19881  2.813700000000000E-002
basic_o2         19881  1.311000000000000E-003
dotproduct_o2         19881  2.032000000000000E-003
cached_o2         19881  1.851000000000000E-003
both_o2         19881  1.689000000000000E-003
builtin_o2         19881  1.296000000000000E-003
basic         20164  2.991000000000000E-002
dotproduct         20164  1.216500000000000E-002
cached         20164  2.796600000000000E-002
both         20164  1.733800000000000E-002
builtin         20164  2.984600000000000E-002
basic_o2         20164  1.365000000000000E-003
dotproduct_o2         20164  1.942000000000000E-003
cached_o2         20164  1.877000000000000E-003
both_o2         20164  1.617000000000000E-003
builtin_o2         20164  1.376000000000000E-003
basic         20449  2.921000000000000E-002
dotproduct         20449  1.232500000000000E-002
cached         20449  2.836200000000000E-002
both         20449  1.811100000000000E-002
builtin         20449  2.920200000000000E-002
basic_o2         20449  1.445000000000000E-003
dotproduct_o2         20449  2.049000000000000E-003
cached_o2         20449  1.907000000000000E-003
both_o2         20449  1.760000000000000E-003
builtin_o2         20449  1.446000000000000E-003
basic         20736  2.844400000000000E-002
dotproduct         20736  1.254400000000000E-002
cached         20736  2.947500000000000E-002
both         20736  1.867300000000000E-002
builtin         20736  3.029000000000000E-002
basic_o2         20736  1.187000000000000E-003
dotproduct_o2         20736  1.949000000000000E-003
cached_o2         20736  1.788000000000000E-003
both_o2         20736  1.746000000000000E-003
builtin_o2         20736  1.121000000000000E-003
basic         21025  3.075500000000000E-002
dotproduct         21025  1.294400000000000E-002
cached         21025  3.005500000000000E-002
both         21025  1.916300000000000E-002
builtin         21025  3.093200000000000E-002
basic_o2         21025  1.176000000000000E-003
dotproduct_o2         21025  2.017000000000000E-003
cached_o2         21025  1.829000000000000E-003
both_o2         21025  1.693000000000000E-003
builtin_o2         21025  1.256000000000000E-003
basic         21316  3.646100000000000E-002
dotproduct         21316  1.411200000000000E-002
cached         21316  3.097000000000000E-002
both         21316  2.021400000000000E-002
builtin         21316  3.194200000000000E-002
basic_o2         21316  1.328000000000000E-003
dotproduct_o2         21316  2.137000000000000E-003
cached_o2         21316  1.921000000000000E-003
both_o2         21316  1.801000000000000E-003
builtin_o2         21316  1.264000000000000E-003
basic         21609  3.100400000000000E-002
dotproduct         21609  1.355600000000000E-002
cached         21609  3.103400000000000E-002
both         21609  1.995200000000000E-002
builtin         21609  3.227200000000000E-002
basic_o2         21609  1.374000000000000E-003
dotproduct_o2         21609  2.141000000000000E-003
cached_o2         21609  1.904000000000000E-003
both_o2         21609  1.751000000000000E-003
builtin_o2         21609  1.392000000000000E-003
basic         21904  3.114700000000000E-002
dotproduct         21904  1.364000000000000E-002
cached         21904  3.068000000000000E-002
both         21904  2.017300000000000E-002
builtin         21904  3.369400000000000E-002
basic_o2         21904  1.582000000000000E-003
dotproduct_o2         21904  2.224000000000000E-003
cached_o2         21904  1.924000000000000E-003
both_o2         21904  1.888000000000000E-003
builtin_o2         21904  1.419000000000000E-003
basic         22201  3.210200000000001E-002
dotproduct         22201  1.411900000000000E-002
cached         22201  3.287400000000000E-002
both         22201  2.067800000000000E-002
builtin         22201  3.358900000000000E-002
basic_o2         22201  1.473000000000000E-003
dotproduct_o2         22201  2.294000000000000E-003
cached_o2         22201  2.192000000000000E-003
both_o2         22201  2.057000000000000E-003
builtin_o2         22201  1.559000000000000E-003
basic         22500  3.272800000000000E-002
dotproduct         22500  1.426400000000000E-002
cached         22500  3.316000000000000E-002
both         22500  2.078000000000000E-002
builtin         22500  3.383600000000000E-002
basic_o2         22500  1.600000000000000E-003
dotproduct_o2         22500  2.360000000000000E-003
cached_o2         22500  2.215000000000000E-003
both_o2         22500  2.010000000000000E-003
builtin_o2         22500  1.646000000000000E-003
basic         22801  3.418200000000000E-002
dotproduct         22801  1.462900000000000E-002
cached         22801  3.365800000000000E-002
both         22801  2.204300000000000E-002
builtin         22801  3.551300000000000E-002
basic_o2         22801  1.586000000000000E-003
dotproduct_o2         22801  2.354000000000000E-003
cached_o2         22801  2.236000000000000E-003
both_o2         22801  2.074000000000000E-003
builtin_o2         22801  1.628000000000000E-003
basic         23104  3.467700000000000E-002
dotproduct         23104  1.453500000000000E-002
cached         23104  3.557700000000000E-002
both         23104  2.179000000000000E-002
builtin         23104  3.580700000000000E-002
basic_o2         23104  1.176000000000000E-003
dotproduct_o2         23104  2.425000000000000E-003
cached_o2         23104  2.111000000000000E-003
both_o2         23104  1.928000000000000E-003
builtin_o2         23104  1.405000000000000E-003
basic         23409  3.503100000000000E-002
dotproduct         23409  1.561300000000000E-002
cached         23409  3.413400000000000E-002
both         23409  2.207500000000000E-002
builtin         23409  3.655800000000000E-002
basic_o2         23409  1.518000000000000E-003
dotproduct_o2         23409  2.395000000000000E-003
cached_o2         23409  2.420000000000000E-003
both_o2         23409  2.057000000000000E-003
builtin_o2         23409  1.436000000000000E-003
basic         23716  3.597200000000000E-002
dotproduct         23716  1.548800000000000E-002
cached         23716  3.531100000000000E-002
both         23716  2.350400000000000E-002
builtin         23716  3.682700000000000E-002
basic_o2         23716  1.468000000000000E-003
dotproduct_o2         23716  2.495000000000000E-003
cached_o2         23716  2.216000000000000E-003
both_o2         23716  2.163000000000000E-003
builtin_o2         23716  1.486000000000000E-003
basic         24025  3.614500000000000E-002
dotproduct         24025  1.610000000000000E-002
cached         24025  3.719400000000000E-002
both         24025  2.351300000000000E-002
builtin         24025  3.785200000000000E-002
basic_o2         24025  1.562000000000000E-003
dotproduct_o2         24025  2.551000000000000E-003
cached_o2         24025  2.556000000000000E-003
both_o2         24025  2.185000000000000E-003
builtin_o2         24025  1.616000000000000E-003
basic         24336  3.660400000000000E-002
dotproduct         24336  1.572300000000000E-002
cached         24336  3.704100000000000E-002
both         24336  2.326700000000000E-002
builtin         24336  3.812000000000000E-002
basic_o2         24336  1.546000000000000E-003
dotproduct_o2         24336  2.800000000000000E-003
cached_o2         24336  2.410000000000000E-003
both_o2         24336  2.194000000000000E-003
builtin_o2         24336  1.599000000000000E-003
basic         24649  3.761700000000000E-002
dotproduct         24649  1.624500000000000E-002
cached         24649  3.728400000000000E-002
both         24649  2.421500000000000E-002
builtin         24649  3.893199999999999E-002
basic_o2         24649  1.762000000000000E-003
dotproduct_o2         24649  2.658000000000000E-003
cached_o2         24649  2.468000000000000E-003
both_o2         24649  2.443000000000000E-003
builtin_o2         24649  1.740000000000000E-003
basic         24964  3.866099999999999E-002
dotproduct         24964  1.709600000000000E-002
cached         24964  3.809900000000000E-002
both         24964  2.471600000000000E-002
builtin         24964  3.955900000000000E-002
basic_o2         24964  1.778000000000000E-003
dotproduct_o2         24964  2.777000000000000E-003
cached_o2         24964  2.488000000000001E-003
both_o2         24964  2.269000000000000E-003
builtin_o2         24964  1.836000000000000E-003
basic         25281  4.111799999999999E-002
dotproduct         25281  1.633000000000000E-002
cached         25281  4.004700000000000E-002
both         25281  2.451700000000000E-002
builtin         25281  4.004800000000000E-002
basic_o2         25281  1.969000000000000E-003
dotproduct_o2         25281  2.813000000000000E-003
cached_o2         25281  2.650000000000000E-003
both_o2         25281  2.382000000000000E-003
builtin_o2         25281  1.880000000000000E-003
basic         25600  4.171600000000000E-002
dotproduct         25600  1.781400000000000E-002
cached         25600  3.944700000000000E-002
both         25600  2.625300000000000E-002
builtin         25600  4.157900000000000E-002
basic_o2         25600  1.481000000000000E-003
dotproduct_o2         25600  3.337000000000000E-003
cached_o2         25600  2.426000000000000E-003
both_o2         25600  3.534000000000000E-003
builtin_o2         25600  1.559000000000000E-003
basic         25921  4.159800000000000E-002
dotproduct         25921  1.804600000000000E-002
cached         25921  4.080000000000000E-002
both         25921  2.480400000000000E-002
builtin         25921  4.242400000000000E-002
basic_o2         25921  1.648000000000000E-003
dotproduct_o2         25921  2.848000000000000E-003
cached_o2         25921  2.608000000000000E-003
both_o2         25921  2.403000000000000E-003
builtin_o2         25921  1.741000000000000E-003
basic         26244  4.226000000000000E-002
dotproduct         26244  1.786000000000000E-002
cached         26244  4.386600000000000E-002
both         26244  2.712300000000000E-002
builtin         26244  4.096500000000000E-002
basic_o2         26244  1.734000000000000E-003
dotproduct_o2         26244  2.677000000000000E-003
cached_o2         26244  2.699000000000000E-003
both_o2         26244  2.445000000000000E-003
builtin_o2         26244  1.706000000000000E-003
basic         26569  4.128399999999999E-002
dotproduct         26569  1.848600000000000E-002
cached         26569  4.209500000000000E-002
both         26569  2.712700000000000E-002
builtin         26569  4.504400000000000E-002
basic_o2         26569  1.947000000000000E-003
dotproduct_o2         26569  3.013000000000000E-003
cached_o2         26569  2.922000000000000E-003
both_o2         26569  2.500000000000000E-003
builtin_o2         26569  1.830000000000000E-003
basic         26896  4.408700000000000E-002
dotproduct         26896  1.846000000000000E-002
cached         26896  4.313100000000000E-002
both         26896  2.765300000000000E-002
builtin         26896  4.473600000000000E-002
basic_o2         26896  1.908000000000000E-003
dotproduct_o2         26896  3.006000000000000E-003
cached_o2         26896  2.715000000000000E-003
both_o2         26896  2.693000000000000E-003
builtin_o2         26896  1.934000000000000E-003
basic         27225  4.379100000000000E-002
dotproduct         27225  1.920100000000000E-002
cached         27225  4.431400000000000E-002
both         27225  2.804900000000000E-002
builtin         27225  4.814500000000000E-002
basic_o2         27225  1.955000000000000E-003
dotproduct_o2         27225  3.302000000000000E-003
cached_o2         27225  2.890000000000000E-003
both_o2         27225  2.682000000000000E-003
builtin_o2         27225  1.946000000000000E-003
basic         27556  4.529300000000000E-002
dotproduct         27556  1.909400000000000E-002
cached         27556  4.446900000000000E-002
both         27556  2.775900000000000E-002
builtin         27556  4.487800000000000E-002
basic_o2         27556  2.106000000000000E-003
dotproduct_o2         27556  3.234000000000000E-003
cached_o2         27556  2.987000000000000E-003
both_o2         27556  2.703000000000000E-003
builtin_o2         27556  2.203000000000000E-003
basic         27889  4.413300000000000E-002
dotproduct         27889  1.952600000000000E-002
cached         27889  4.536299999999999E-002
both         27889  2.860700000000000E-002
builtin         27889  4.731400000000000E-002
basic_o2         27889  2.112000000000000E-003
dotproduct_o2         27889  3.336000000000000E-003
cached_o2         27889  3.281000000000000E-003
both_o2         27889  2.905000000000000E-003
builtin_o2         27889  2.205000000000000E-003
basic         28224  4.541400000000000E-002
dotproduct         28224  1.929700000000000E-002
cached         28224  4.590300000000000E-002
both         28224  2.887200000000000E-002
builtin         28224  4.668200000000000E-002
basic_o2         28224  1.749000000000000E-003
dotproduct_o2         28224  3.169000000000000E-003
cached_o2         28224  2.790000000000000E-003
both_o2         28224  2.682000000000000E-003
builtin_o2         28224  1.828000000000000E-003
basic         28561  4.691100000000000E-002
dotproduct         28561  2.017600000000000E-002
cached         28561  4.711800000000000E-002
both         28561  2.871900000000000E-002
builtin         28561  4.772600000000000E-002
basic_o2         28561  1.856000000000000E-003
dotproduct_o2         28561  3.199000000000000E-003
cached_o2         28561  2.940000000000000E-003
both_o2         28561  2.860000000000000E-003
builtin_o2         28561  1.963000000000000E-003
basic         28900  4.877300000000000E-002
dotproduct         28900  2.017400000000000E-002
cached         28900  4.772300000000000E-002
both         28900  3.103300000000000E-002
builtin         28900  4.851900000000000E-002
basic_o2         28900  1.845000000000000E-003
dotproduct_o2         28900  3.374000000000000E-003
cached_o2         28900  3.081000000000000E-003
both_o2         28900  2.813000000000000E-003
builtin_o2         28900  1.945000000000000E-003
basic         29241  4.933900000000000E-002
dotproduct         29241  2.145300000000000E-002
cached         29241  4.852600000000001E-002
both         29241  3.309200000000000E-002
builtin         29241  4.982600000000000E-002
basic_o2         29241  2.005000000000000E-003
dotproduct_o2         29241  3.573000000000001E-003
cached_o2         29241  3.295000000000000E-003
both_o2         29241  2.929999999999999E-003
builtin_o2         29241  2.114000000000000E-003
basic         29584  5.006600000000000E-002
dotproduct         29584  2.189600000000000E-002
cached         29584  4.992400000000000E-002
both         29584  3.027500000000000E-002
builtin         29584  5.000900000000000E-002
basic_o2         29584  2.133000000000000E-003
dotproduct_o2         29584  3.469000000000000E-003
cached_o2         29584  3.075000000000000E-003
both_o2         29584  3.021000000000000E-003
builtin_o2         29584  2.206000000000000E-003
basic         29929  5.051500000000000E-002
dotproduct         29929  2.064200000000000E-002
cached         29929  4.995200000000000E-002
both         29929  3.058700000000000E-002
builtin         29929  5.112300000000000E-002
basic_o2         29929  2.264000000000000E-003
dotproduct_o2         29929  3.601000000000000E-003
cached_o2         29929  3.162000000000000E-003
both_o2         29929  3.137000000000000E-003
builtin_o2         29929  2.344000000000000E-003
basic         30276  5.062400000000000E-002
dotproduct         30276  2.086500000000000E-002
cached         30276  5.106500000000000E-002
both         30276  3.288199999999999E-002
builtin         30276  5.264400000000000E-002
basic_o2         30276  2.298000000000000E-003
dotproduct_o2         30276  3.851000000000000E-003
cached_o2         30276  3.583000000000000E-003
both_o2         30276  3.150000000000000E-003
builtin_o2         30276  2.368000000000000E-003
basic         30625  5.164200000000000E-002
dotproduct         30625  2.243300000000000E-002
cached         30625  5.185800000000000E-002
both         30625  3.304700000000000E-002
builtin         30625  5.343200000000000E-002
basic_o2         30625  2.400000000000000E-003
dotproduct_o2         30625  3.684000000000000E-003
cached_o2         30625  3.557000000000000E-003
both_o2         30625  3.350000000000000E-003
builtin_o2         30625  2.557000000000000E-003
basic         30976  5.347100000000000E-002
dotproduct         30976  2.205600000000000E-002
cached         30976  5.611200000000000E-002
both         30976  4.016400000000001E-002
builtin         30976  5.499300000000000E-002
basic_o2         30976  2.076000000000000E-003
dotproduct_o2         30976  3.670000000000001E-003
cached_o2         30976  3.163000000000000E-003
both_o2         30976  3.181000000000000E-003
builtin_o2         30976  2.080000000000000E-003
basic         31329  5.290500000000000E-002
dotproduct         31329  2.334800000000000E-002
cached         31329  5.394200000000000E-002
both         31329  3.432100000000000E-002
builtin         31329  5.392600000000000E-002
basic_o2         31329  2.267000000000000E-003
dotproduct_o2         31329  3.721000000000000E-003
cached_o2         31329  3.499000000000000E-003
both_o2         31329  3.294000000000000E-003
builtin_o2         31329  2.241000000000000E-003
basic         31684  5.402300000000000E-002
dotproduct         31684  2.373900000000000E-002
cached         31684  5.580500000000000E-002
both         31684  3.567600000000000E-002
builtin         31684  5.534100000000000E-002
basic_o2         31684  2.183000000000000E-003
dotproduct_o2         31684  3.874000000000000E-003
cached_o2         31684  3.494000000000000E-003
both_o2         31684  3.407000000000000E-003
builtin_o2         31684  2.267000000000000E-003
basic         32041  5.712500000000000E-002
dotproduct         32041  2.401500000000000E-002
cached         32041  5.610300000000000E-002
both         32041  3.587500000000000E-002
builtin         32041  5.757300000000000E-002
basic_o2         32041  2.210000000000000E-003
dotproduct_o2         32041  3.821000000000000E-003
cached_o2         32041  3.609000000000000E-003
both_o2         32041  3.537000000000000E-003
builtin_o2         32041  2.307000000000000E-003
basic         32400  5.599700000000000E-002
dotproduct         32400  2.408800000000000E-002
cached         32400  5.605300000000000E-002
both         32400  3.648600000000000E-002
builtin         32400  5.636400000000000E-002
basic_o2         32400  2.389000000000000E-003
dotproduct_o2         32400  4.096000000000000E-003
cached_o2         32400  3.690000000000000E-003
both_o2         32400  3.553000000000000E-003
builtin_o2         32400  2.446000000000000E-003
basic         32761  5.749000000000000E-002
dotproduct         32761  2.441200000000000E-002
cached         32761  5.934500000000000E-002
both         32761  3.702300000000000E-002
builtin         32761  5.823100000000000E-002
basic_o2         32761  2.609000000000000E-003
dotproduct_o2         32761  4.034000000000000E-003
cached_o2         32761  3.728000000000000E-003
both_o2         32761  3.595000000000000E-003
builtin_o2         32761  2.497000000000000E-003
basic         33124  6.005100000000000E-002
dotproduct         33124  2.476800000000000E-002
cached         33124  5.834300000000000E-002
both         33124  3.800900000000000E-002
builtin         33124  5.922100000000000E-002
basic_o2         33124  2.757000000000000E-003
dotproduct_o2         33124  4.239000000000000E-003
cached_o2         33124  4.076000000000000E-003
both_o2         33124  3.858000000000000E-003
builtin_o2         33124  2.720000000000000E-003
basic         33489  5.939000000000000E-002
dotproduct         33489  2.585100000000000E-002
cached         33489  5.892000000000000E-002
both         33489  3.680000000000000E-002
builtin         33489  6.057999999999999E-002
basic_o2         33489  2.928000000000000E-003
dotproduct_o2         33489  4.510000000000000E-003
cached_o2         33489  3.987000000000000E-003
both_o2         33489  3.931000000000000E-003
builtin_o2         33489  2.868000000000000E-003
basic         33856  5.943499999999999E-002
dotproduct         33856  2.557500000000000E-002
cached         33856  6.143800000000001E-002
both         33856  3.702400000000000E-002
builtin         33856  6.102500000000000E-002
basic_o2         33856  2.355000000000000E-003
dotproduct_o2         33856  4.327000000000000E-003
cached_o2         33856  3.800000000000000E-003
both_o2         33856  3.779000000000000E-003
builtin_o2         33856  2.386000000000000E-003
basic         34225  6.219600000000000E-002
dotproduct         34225  2.546100000000000E-002
cached         34225  6.193700000000000E-002
both         34225  3.965500000000000E-002
builtin         34225  6.178699999999999E-002
basic_o2         34225  2.593000000000000E-003
dotproduct_o2         34225  4.444999999999999E-003
